index,CHEMBL,KEGG,PUBCHEM,high_hba1c_minus_control,high_hba1c_minus_control_pvals
"N,N-dimethylalanine",,,5488191.0,,
3-indoleglyoxylic acid,CHEMBL57285,,73863.0,,
ethyl beta-glucopyranoside,,,121667.0,,
2-hydroxysebacate,,,128458.0,,
enterolactone sulfate,,,,,
ascorbic acid 3-sulfate*,,,11425365.0,,
6-bromotryptophan,CHEMBL513050,,96735.0,,
1-carboxyethylphenylalanine,,,,,
1-carboxyethylvaline,,,,,
1-carboxyethylleucine,,,,,
1-carboxyethylisoleucine,,,,,
dodecadienoate (12:2)*,,,,,
N-acetyl-isoputreanine,,,131802901.0,,
glucuronide of piperine metabolite C17H21NO3 (3)*,,,,,
glucuronide of piperine metabolite C17H21NO3 (4)*,,,,,
glucuronide of piperine metabolite C17H21NO3 (5)*,,,,,
sulfate of piperine metabolite C16H19NO3 (2)*,,,,,
sulfate of piperine metabolite C16H19NO3 (3)*,,,,,
sulfate of piperine metabolite C18H21NO3 (1)*,,,,,
2-naphthol sulfate,,,74428.0,,
4-ethylcatechol sulfate,,,,,
11beta-hydroxyandrosterone glucuronide,,,,,
"N2-acetyl,N6,N6-dimethyllysine",,,,,
cholic acid glucuronide,,,,,
deoxycholic acid glucuronide,,,,,
4-allylcatechol sulfate,,,,,
3-hydroxypyridine glucuronide,,,,,
4-methylhexanoylglutamine,,,,,
glycoursodeoxycholic acid sulfate (1),,,,,
dihydrocaffeate sulfate (2),,,49844181.0,,
lithocholate sulfate (1),,,,,
3-(methylthio)acetaminophen sulfate*,,,,,
2-ketocaprylate,,,67600.0,,
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",,,,,
Fibrinopeptide B (1-13)**,,,,,
3-hydroxy-2-methylpyridine sulfate,,,,,
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**,,,,,
cyclo(pro-arg)*,,,,,
5-hydroxymethyl-2-furoylcarnitine*,,,,,
branched-chain fatty acid 18:0 (2)**,,,,,
tetradecadienedioate (C14:2-DC)*,,,,,
pregnenetriol disulfate*,,,,,
eicosenedioate (C20:1-DC)*,,,,,
"hydroxy-N6,N6,N6-trimethyllysine*",,,,,
undecenoylcarnitine (C11:1),,,,,
3-decenoylcarnitine,,,,,
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),,,,,
4-vinylcatechol sulfate,,,,,
"3,5-dichloro-2,6-dihydroxybenzoic acid",,,,,
(S)-a-amino-omega-caprolactam,CHEMBL40172,C05328,439823.0,,
metabolonic lactone sulfate,,,,,
vanillic acid glycine,,,3083688.0,,
branched chain 14:0 dicarboxylic acid**,,,,,
(2 or 3)-decenoate (10:1n7 or n8),,,,,
isoursodeoxycholate sulfate (1),,,,,
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",,,,,
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*",,,,,
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",,,,,
decadienedioic acid (C10:2-DC)**,,,,,
deoxycholic acid 12-sulfate*,,,,,
GlcNAc sulfate conjugate of C21H34O2 steroid**,,,,,
"cis-3,4-methyleneheptanoate",,,,,
"cis-3,4-methyleneheptanoylcarnitine",,,,,
N-acetyl-2-aminoadipate,,C12986,443992.0,,
4-chlorobenzoic acid,,,,,
"2,4-di-tert-butylphenol",,,,,
3-hydroxyoctanoylcarnitine (1),,,,,
"cis-3,4-methyleneheptanoylglycine",,,,,
"bilirubin degradation product, C16H18N2O5 (1)**",,,,,
"bilirubin degradation product, C16H18N2O5 (2)**",,,,,
"bilirubin degradation product, C17H18N2O4 (1)**",,,,,
"bilirubin degradation product, C17H18N2O4 (2)**",,,,,
"bilirubin degradation product, C17H18N2O4 (3)**",,,,,
"bilirubin degradation product, C17H20N2O5 (1)**",,,,,
"bilirubin degradation product, C17H20N2O5 (2)**",,,,,
tetrahydrocortisol glucuronide,,,,,
"N,N-dimethyl-pro-pro",,,,,
oxindolylalanine,,,20977764.0,,
tetrahydrocortisone glucuronide (5),,,,,
X - 11381,,,,,
X - 11787,,,,,
X - 11795,,,,,
X - 21258,,,,,
X - 19438,,,,,
X - 15486,,,,,
X - 15461,,,,,
X - 21285,,,,,
X - 21286,,,,,
X - 21295,,,,,
X - 12714,,,,,
X - 21310,,,,,
X - 09789,,,,,
X - 21312,,,,,
X - 21315,,,,,
X - 21318,,,,,
X - 21319,,,,,
X - 12847,,,,,
X - 21339,,,,,
X - 21341,,,,,
X - 11308,,,,,
X - 21353,,,,,
X - 21364,,,,,
X - 13866,,,,,
X - 21383,,,,,
X - 21410,,,,,
X - 11444,,,,,
X - 16124,,,,,
X - 11843,,,,,
X - 21441,,,,,
X - 21442,,,,,
X - 11847,,,,,
X - 11850,,,,,
X - 12544,,,,,
X - 16938,,,,,
X - 21467,,,,,
X - 21470,,,,,
X - 21471,,,,,
X - 11852,,,,,
X - 07765,,,,,
X - 11299,,,,,
X - 11372,,,,,
X - 11378,,,,,
X - 11470,,,,,
X - 11478,,,,,
X - 11849,,,,,
X - 11880,,,,,
X - 12007,,,,,
X - 12013,,,,,
X - 12216,,,,,
X - 12407,,,,,
X - 12411,,,,,
X - 12462,,,,,
X - 12729,,,,,
X - 12798,,,,,
X - 12740,,,,,
X - 12816,,,,,
X - 14056,,,,,
X - 12844,,,,,
X - 12849,,,,,
X - 12851,,,,,
X - 13728,,,,,
X - 13835,,,,,
X - 14568,,,,,
X - 14658,,,,,
X - 14939,,,,,
X - 15220,,,,,
X - 15245,,,,,
X - 15674,,,,,
X - 15728,,,,,
X - 16576,,,,,
X - 21607,,,,,
X - 16935,,,,,
X - 16964,,,,,
X - 18901,,,,,
X - 18913,,,,,
X - 18922,,,,,
X - 19141,,,,,
X - 17438,,,,,
X - 17653,,,,,
X - 17690,,,,,
X - 21733,,,,,
X - 21736,,,,,
X - 21737,,,,,
X - 21742,,,,,
X - 21752,,,,,
X - 12104,,,,,
X - 12126,,,,,
X - 17676,,,,,
X - 21796,,,,,
X - 12718,,,,,
X - 17365,,,,,
X - 15503,,,,,
X - 21803,,,,,
X - 12193,,,,,
X - 12812,,,,,
X - 17348,,,,,
X - 21815,,,,,
X - 21816,,,,,
X - 17367,,,,,
X - 12822,,,,,
X - 21821,,,,,
X - 21829,,,,,
X - 17354,,,,,
X - 21834,,,,,
X - 12839,,,,,
X - 21838,,,,,
X - 21839,,,,,
X - 21840,,,,,
X - 21842,,,,,
X - 21845,,,,,
X - 12848,,,,,
X - 21851,,,,,
X - 21935,,,,,
X - 13007,,,,,
X - 14904,,,,,
X - 18887,,,,,
X - 18345,,,,,
X - 22162,,,,,
X - 12680,,,,,
X - 10458,,,,,
X - 11632,,,,,
X - 12027,,,,,
X - 19561,,,,,
X - 12456,,,,,
X - 12101,,,,,
X - 12125,,,,,
X - 11483,,,,,
X - 11593,,,,,
X - 11858,,,,,
X - 12261,,,,,
X - 12830,,,,,
X - 13658,,,,,
X - 18899,,,,,
X - 18921,,,,,
X - 19183,,,,,
X - 19455,,,,,
X - 12100,,,,,
X - 12117,,,,,
X - 12127,,,,,
X - 12283,,,,,
X - 12753,,,,,
X - 22509,,,,,
X - 13431,,,,,
X - 13684,,,,,
X - 17304,,,,,
X - 16397,,,,,
X - 16580,,,,,
X - 17325,,,,,
X - 17328,,,,,
X - 17335,,,,,
X - 12026,,,,,
X - 12170,,,,,
X - 12257,,,,,
X - 12306,,,,,
X - 12410,,,,,
X - 12543,,,,,
X - 12707,,,,,
X - 12726,,,,,
X - 12730,,,,,
X - 12731,,,,,
X - 12738,,,,,
X - 12818,,,,,
X - 12906,,,,,
X - 13553,,,,,
X - 13688,,,,,
X - 13726,,,,,
X - 13729,,,,,
X - 13844,,,,,
X - 16087,,,,,
X - 16649,,,,,
X - 17010,,,,,
X - 17346,,,,,
X - 17351,,,,,
X - 17353,,,,,
X - 17357,,,,,
X - 17361,,,,,
X - 17371,,,,,
X - 17655,,,,,
X - 17685,,,,,
X - 18886,,,,,
X - 18888,,,,,
X - 22771,,,,,
X - 22776,,,,,
X - 22789,,,,,
X - 22834,,,,,
X - 23587,,,,,
X - 23636,,,,,
X - 23639,,,,,
X - 23641,,,,,
X - 23644,,,,,
X - 23648,,,,,
X - 23652,,,,,
X - 23655,,,,,
X - 23669,,,,,
X - 23678,,,,,
X - 23680,,,,,
X - 11315,,,,,
X - 23739,,,,,
X - 23776,,,,,
X - 23780,,,,,
X - 23782,,,,,
X - 23787,,,,,
X - 23890,,,,,
X - 23974,,,,,
X - 23997,,,,,
X - 24241,,,,,
X - 24243,,,,,
X - 24295,,,,,
X - 24306,,,,,
X - 24307,,,,,
X - 24309,,,,,
X - 24328,,,,,
X - 24334,,,,,
X - 24337,,,,,
X - 24352,,,,,
X - 24422,,,,,
X - 24411,,,,,
X - 24418,,,,,
X - 24425,,,,,
X - 24431,,,,,
X - 24432,,,,,
X - 24456,,,,,
X - 12111,,,,,
X - 24518,,,,,
X - 24522,,,,,
X - 24541,,,,,
X - 24544,,,,,
X - 24545,,,,,
X - 24546,,,,,
X - 24549,,,,,
X - 24556,,,,,
X - 24571,,,,,
X - 24585,,,,,
X - 24588,,,,,
X - 24637,,,,,
X - 24686,,,,,
X - 24728,,,,,
X - 24736,,,,,
X - 24747,,,,,
X - 24748,,,,,
X - 24803,,,,,
X - 24804,,,,,
X - 24806,,,,,
X - 24811,,,,,
X - 24812,,,,,
